Week 1,Week 2,Week 3,Week 4,Week 5,Week 6
Kujo || Danny,Isaiah Wright,Isaiah Wright,Ponzu,Frazzie,abaddon - Ben
Frazzie,Kujo || Danny,subzero719 (Michael),abaddon - Ben,Lauren,Frazzie
RedXRöß,William // Squilliam,ryansf35,ryansf35,William // Squilliam,ryansf35
"Guy, like the word",Mimics,Kyle,Mimics,Mimics,"Guy, like the word"
-,-,-,-,-,-
dark_cloud06(Josh),subzero719 (Michael),Kujo || Danny,Isaiah Wright,subzero719 (Michael),Lauren
Ponzu,dark_cloud06(Josh),abaddon - Ben,Lauren,abaddon - Ben,Kujo || Danny
ryansf35,Kaliri,RedXRöß,Kaliri,Kaliri,Kaliri
William // Squilliam,"Guy, like the word","Guy, like the word",RedXRöß,Kyle,InKd
-,-,-,-,-,-
subzero719 (Michael),abaddon - Ben,dark_cloud06(Josh),Frazzie,Kujo || Danny,dark_cloud06(Josh)
Lauren,Frazzie,Lauren,subzero719 (Michael),Ponzu,subzero719 (Michael)
Mimics,ryansf35,InKd,InKd,"Guy, like the word",RedXRöß
InKd,InKd,Mimics,"Guy, like the word",RedXRöß,Mimics
-,-,-,-,-,-
abaddon - Ben,Ponzu,Ponzu,dark_cloud06(Josh),dark_cloud06(Josh),Isaiah Wright
Isaiah Wright,Lauren,Frazzie,Kujo || Danny,Isaiah Wright,Ponzu
Kaliri,RedXRöß,Kaliri,William // Squilliam,ryansf35,Kyle
Kyle,Kyle,William // Squilliam,Kyle,InKd,William // Squilliam